ID, Name, Background, Base, Eyes, Head, Clothes, Name 1/1
783, Starbirds #783, Green, Grey Royal, Neon Shades, Low Battery, SB Tee, 
784, Starbirds #784, Green, Brown Scout, Cyborg, White Bucket Hat, Red Scarf, 
785, Starbirds #785, Grey, Black Fighter, Wide, Moonrock, Kings Robe, 
786, Starbirds #786, Fire, Grey Scout, Stars, Cowboy, None, 
787, Starbirds #787, Purple, Purple Fighter, Round glasses, Red Bucket, Blue Hoodie, 
788, Starbirds #788, Purple Space, Grey Fighter, Green Shades, Wizard Hat, Red Scarf, 
789, Starbirds #789, Pink, Blue Fighter, Derp, Space Ship, SB Tee, 
790, Starbirds #790, Yellow, Brown Scout, Rainbow Shades, Gold, Blue Shirt, 
791, Starbirds #791, Space, Brown Scout, Round glasses, Space Ship, Blue Hoodie, 
792, Starbirds #792, Green, Purple Fighter, Sunset Shades, Blue Bucket, Red SB, 
793, Starbirds #793, Grey, Purple Fighter, Sleeping, Cowboy, Orange SB, 
794, Starbirds #794, Grey, Black Scout, Green Eyes, Robot Antenna, Blue Hoodie, 
795, Starbirds #795, Grey, Red, Cyborg, Blue Bucket, Blue scarf, 
796, Starbirds #796, Purple Space, Gold Scout, Green Eyes, Grey Hat, Gold chain, 
797, Starbirds #797, Green, Red, Sleeping, Baby Seal, Orange SB, 
798, Starbirds #798, Grey, Blue Protector, Neon Shades, Star, Green Hoodie, 
799, Starbirds #799, Purple, Red Fighter, Neon Shades, Black Red, Red SB, 
800, Starbirds #800, Grey, Red Protector, Stars, Blue Bucket, Green Scarf, 
801, Starbirds #801, Blue, Purple Scout, Green Shades, White Bucket Hat, Jetpack, 
802, Starbirds #802, Grey, Black Fighter, Cyborg, None, Green SB, 
803, Starbirds #803, Yellow, Red Fighter, Tired, Ear Muffs, Red Scarf, 
804, Starbirds #804, Clouds, Black Fighter, Derp, Indian, Orange SB, 
805, Starbirds #805, Green, Black Royal, Red Shades, Baby Seal, Jetpack, 
806, Starbirds #806, Fire, Brown Protector, Tired, Moon, Gold chain, 
807, Starbirds #807, Purple Space, Purple Protector, Green Shades, Hair, Green Scarf, 
808, Starbirds #808, Yellow, Brown Protector, Tired, Space Ship, Blue Hoodie, 
809, Starbirds #809, Grey, Brown Protector, Vipers, Star, Red SB, 
810, Starbirds #810, Grey, Purple Protector, Vipers, Grey Hat, Kings Robe, 
811, Starbirds #811, Green, Blue Royal, Tired, Beer Hat, SB Tee, 
812, Starbirds #812, Green, Grey Protector, Cyborg, Gold, None, 
813, Starbirds #813, Yellow, Brown Figher, Sleeping, Gold, Blue Shirt, 
814, Starbirds #814, Fire, Purple Royal, Round glasses, Moon, Red Scarf, 
815, Starbirds #815, Green, Blue Protector, Vipers, Crown, Blue scarf, 
816, Starbirds #816, Yellow, Brown Scout, Ruby, Star, Blue scarf, 
817, Starbirds #817, Purple, Black Scout, Green Shades, Beer Hat, Blue Hoodie, 
818, Starbirds #818, Yellow, Red Royal, Stars, Black Red, Blue Hoodie, 
819, Starbirds #819, Green, Purple Fighter, Sunset Shades, Ear Muffs, Blue Shirt, 
820, Starbirds #820, Purple, Brown Royal, Cyborg, White Bucket Hat, Blue Hoodie, 
821, Starbirds #821, Blue, Red Protector, Wide, White Bucket Hat, SB Tee, 
822, Starbirds #822, Grey, Purple Fighter, Rainbow Shades, Star, Green Scarf, 
823, Starbirds #823, Blue, Black Scout, Stars, Grey Hat, Blue Hoodie, 
824, Starbirds #824, Purple Space, Blue Protector, Derp, Blue Bucket, Orange SB, 
825, Starbirds #825, Purple, Grey Fighter, Aviators, Star, Kings Robe, 
826, Starbirds #826, Yellow, Black Protector, Cyborg, None, None, 
827, Starbirds #827, Blue, Grey Royal, Green Shades, Low Battery, Cyber Jacket, 
828, Starbirds #828, Clouds, Red Royal, Wide, Gold, Red SB, 
829, Starbirds #829, Pink, Grey Fighter, Sunset Shades, Cowboy, SB Tee, 
830, Starbirds #830, Green, Blue Scout, Wide, Hair, Gold chain, 
831, Starbirds #831, Green Space, Purple Royal, Sunset Shades, Space Ship, Red SB, 
832, Starbirds #832, Grey, Red Royal, Tired, Beer Hat, Blue Shirt, 
833, Starbirds #833, Blue, Grey Scout, Vipers, Star, Green Scarf, 
834, Starbirds #834, Purple Space, Purple Fighter, Red Shades, Red Bucket, Orange SB, 
835, Starbirds #835, Blue, Purple Fighter, Wide, Moonrock, Blue Hoodie, 
836, Starbirds #836, Purple Space, Blue Royal, Ruby, None, None, 
837, Starbirds #837, Green Space, Black Fighter, Sleeping, Moonrock, Green Scarf, 
838, Starbirds #838, Pink, Red Fighter, Stars, Ear Muffs, Red SB, 
839, Starbirds #839, Yellow, Purple Royal, Angry Eyes, Moonrock, Blue Hoodie, 
840, Starbirds #840, Space, Purple Royal, Sunset Shades, Cowboy, Orange SB, 
841, Starbirds #841, Pink, Gold Fighter, Red Shades, White Bucket Hat, None, 
842, Starbirds #842, Blue, Purple Fighter, Chill, Cowboy, Green Hoodie, 
843, Starbirds #843, Green, Red Fighter, Stars, Baby Seal, None, 
844, Starbirds #844, Grey, Black Fighter, Angry Eyes, Indian, None, 
845, Starbirds #845, Grey, Black Protector, Derp, None, Green Hoodie, 
846, Starbirds #846, Yellow, Red Fighter, Angry Eyes, Moon, Red SB, 
847, Starbirds #847, Pink, Purple Royal, Vipers, Blue Bucket, Green Hoodie, 
848, Starbirds #848, Pink, Purple Fighter, Angry Eyes, Beer Hat, Red Scarf, 
849, Starbirds #849, Blue, Red Fighter, Wide, White Bucket Hat, None, 
850, Starbirds #850, Blue, Grey Protector, Red Shades, Grey Hat, Green Hoodie, 
851, Starbirds #851, Purple, Blue Fighter, Angry Eyes, Moonrock, None, 
852, Starbirds #852, Green, Red, Tired, Ded, Blue scarf, 
853, Starbirds #853, Grey, Black Fighter, Ruby, Wizard Hat, None, 
854, Starbirds #854, Green Space, Grey Scout, Cyborg, Low Battery, SB Tee, 
855, Starbirds #855, Green Space, Red Fighter, Wide, Star, Blue Hoodie, 
856, Starbirds #856, Space, Black Royal, Round glasses, Red Bucket, Red SB, 
857, Starbirds #857, Grey, Black Protector, Sleeping, Indian, SB Tee, 
858, Starbirds #858, Green Space, Black Fighter, Round glasses, White Bucket Hat, Orange SB, 
859, Starbirds #859, Pink, Black Scout, Green Shades, Grey Hat, Blue Shirt, 
860, Starbirds #860, Grey, Blue Fighter, Sunset Shades, Wizard Hat, None, 
861, Starbirds #861, Pink, Black Royal, Vipers, Robot Antenna, Red Scarf, 
862, Starbirds #862, Gradient, Grey Protector, Green Eyes, Black Red, Gold chain, 
863, Starbirds #863, Purple, Grey Scout, Red Shades, Hair, None, 
864, Starbirds #864, Green Space, Black Scout, Derp, Moonrock, Orange SB, 
865, Starbirds #865, Green, Black Scout, Stars, Low Battery, Blue scarf, 
866, Starbirds #866, Space, Purple Fighter, Angry Eyes, Electricity, Blue Shirt, 
867, Starbirds #867, Grey, Purple Fighter, Green Eyes, Wizard Hat, Orange SB, 
868, Starbirds #868, Fire, Brown Figher, Aviators, Blue Bucket, Orange SB, 
869, Starbirds #869, Grey, Red, Cyborg, Star, Blue scarf, 
870, Starbirds #870, Green Space, Blue Scout, Aviators, None, Red SB, 
871, Starbirds #871, Fire, Grey Royal, Green Eyes, Blue Bucket, Blue Hoodie, 
872, Starbirds #872, Purple, Grey Protector, Green Eyes, None, Gold chain, 
873, Starbirds #873, Pink, Purple Protector, Wide, Moon, None, 
874, Starbirds #874, Yellow, Black Scout, Stars, Cyborg Antlers, None, 
875, Starbirds #875, Blue, Blue Protector, Green Eyes, Gold, Blue Hoodie, 
876, Starbirds #876, Green, Brown Protector, Angry Eyes, Star, Blue scarf, 
877, Starbirds #877, Green, Blue Fighter, Angry Eyes, Beer Hat, None, 
878, Starbirds #878, Space, Blue Scout, Sunset Shades, None, Green SB, 
879, Starbirds #879, Purple, Brown Royal, Green Eyes, Wizard Hat, Cyber Jacket, 
880, Starbirds #880, Pink, Brown Scout, Sunset Shades, Cowboy, Blue Shirt, 
881, Starbirds #881, Blue, Black Scout, Round glasses, Beer Hat, SB Tee, 
882, Starbirds #882, Green, Red Protector, Aviators, White Bucket Hat, Cyber Jacket, 
883, Starbirds #883, Blue, Black Fighter, Aviators, Baby Seal, Green Hoodie, 
884, Starbirds #884, Green Space, Blue Fighter, Vipers, Cowboy, Blue scarf, 
885, Starbirds #885, Space, Brown Scout, Wide, Baby Seal, Gold Robe, 
886, Starbirds #886, Green Space, Brown Royal, Round glasses, Red Bucket, Cyber Jacket, 
887, Starbirds #887, Grey, Grey Fighter, Aviators, Beer Hat, Red Scarf, 
888, Starbirds #888, Green, Grey Protector, Stars, Beer Hat, Blue Hoodie, 
889, Starbirds #889, Green Space, Black Scout, Aviators, Moon, Blue Shirt, 
890, Starbirds #890, Purple Space, Red Fighter, Green Eyes, Baby Seal, Orange SB, 
891, Starbirds #891, Purple, Blue Royal, Red Shades, Cowboy, SB Tee, 
892, Starbirds #892, Gradient, Red, Chill, Micky Dee, SB Tee, 
893, Starbirds #893, Purple, Blue Scout, Sleeping, Baby Seal, Green Hoodie, 
894, Starbirds #894, Yellow, Brown Figher, Rainbow Shades, Low Battery, Orange SB, 
895, Starbirds #895, Purple, Purple Fighter, Ruby, Wizard Hat, Blue Shirt, 
896, Starbirds #896, Yellow, Red, Round glasses, Moon, Cyber Jacket, 
897, Starbirds #897, Clouds, Purple Fighter, Ruby, Indian, Blue scarf, 
898, Starbirds #898, Purple, Grey Protector, Chill, Black Red, Green Hoodie, 
899, Starbirds #899, Green, Brown Figher, Red Shades, Moonrock, SB Tee, 
900, Starbirds #900, Purple, Black Scout, Rainbow Shades, Moonrock, Gold Robe, 
901, Starbirds #901, Green, Brown Scout, Cyborg, Beer Hat, SB Tee, 
902, Starbirds #902, Green, Blue Fighter, Wide, Cowboy, Green Hoodie, 
903, Starbirds #903, Blue, Red, Sunset Shades, Red Bucket, Diamons Necklace, 
904, Starbirds #904, Space, Grey Protector, Wide, White Bucket Hat, Red Scarf, 
905, Starbirds #905, Green Space, Red Fighter, Sunset Shades, Micky Dee, Green SB, 
906, Starbirds #906, Blue, Red Protector, Round glasses, Red Bucket, Orange SB, 
907, Starbirds #907, Clouds, Brown Royal, Neon Shades, Indian, SB Tee, 
908, Starbirds #908, Green, Grey Fighter, Round glasses, White Bucket Hat, Red SB, 
909, Starbirds #909, Clouds, Red Royal, Cyborg, Moon, Blue Shirt, 
910, Starbirds #910, Pink, Grey Royal, Aviators, Baby Seal, None, 
911, Starbirds #911, Purple Space, Grey Fighter, Green Eyes, None, Cyber Jacket, 
912, Starbirds #912, Green, Grey Protector, Green Eyes, None, SB Tee, 
913, Starbirds #913, Grey, Gold Protector, Round glasses, Ded, Green Hoodie, 
914, Starbirds #914, Green Space, Gold Royal, Chill, Gold, Green SB, 
915, Starbirds #915, Grey, Grey Fighter, Green Eyes, Moon, None, 
916, Starbirds #916, Pink, Purple Fighter, Angry Eyes, Crown, Red Scarf, 
917, Starbirds #917, Yellow, Red Fighter, Green Shades, Ear Muffs, Green Scarf, 
918, Starbirds #918, Gradient, Black Royal, Stars, Micky Dee, Green Scarf, 
919, Starbirds #919, Space, Blue Royal, Derp, Star, SB Tee, 
920, Starbirds #920, Yellow, Brown Figher, Neon Shades, Indian, Gold Robe, 
921, Starbirds #921, Yellow, Purple Fighter, Sunset Shades, Gold, Jetpack, 
922, Starbirds #922, Blue, Brown Figher, Wide, None, Green SB, 
923, Starbirds #923, Purple Space, Purple Royal, Sleeping, White Bucket Hat, Cyber Jacket, 
924, Starbirds #924, Green Space, Purple Scout, Stars, Cowboy, Green Scarf, 
925, Starbirds #925, Pink, Black Royal, Red Shades, Wizard Hat, Blue Hoodie, 
926, Starbirds #926, Grey, Black Royal, Angry Eyes, Indian, Blue Hoodie, 
927, Starbirds #927, Space, Purple Fighter, Ruby, Space Ship, Blue Shirt, 
928, Starbirds #928, Green, Black Protector, Angry Eyes, None, Blue Shirt, 
929, Starbirds #929, Grey, Blue Protector, Wide, Red Bucket, Green SB, 
930, Starbirds #930, Blue, Black Protector, Chill, Hair, Blue Hoodie, 
931, Starbirds #931, Blue, Black Fighter, Aviators, Blue Bucket, Cyber Jacket, 
932, Starbirds #932, Clouds, Red Protector, Green Eyes, Moonrock, Blue Hoodie, 
933, Starbirds #933, Blue, Brown Protector, Stars, Grey Hat, Blue Shirt, 
934, Starbirds #934, Grey, Brown Royal, Stars, Moon, None, 
935, Starbirds #935, Grey, Red, Rainbow Shades, Robot Antenna, Kings Robe, 
936, Starbirds #936, Clouds, Black Fighter, Rainbow Shades, Black Red, Red Scarf, 
937, Starbirds #937, Clouds, Grey Protector, Green Eyes, Star, Cyber Jacket, 
938, Starbirds #938, Blue, Gold Protector, Cyborg, Baby Seal, Red Scarf, 
939, Starbirds #939, Blue, Purple Protector, Sleeping, Cyborg Antlers, Halo, 
940, Starbirds #940, Grey, Blue Royal, Aviators, Star, Blue Shirt, 
941, Starbirds #941, Yellow, Grey Scout, Sunset Shades, Space Ship, Orange SB, 
942, Starbirds #942, Clouds, Grey Royal, Green Eyes, Robot Antenna, Halo, 
943, Starbirds #943, Yellow, Brown Scout, Aviators, Low Battery, Kings Robe, 
944, Starbirds #944, Pink, Black Royal, Chill, Indian, Red Scarf, 
945, Starbirds #945, Clouds, Grey Protector, Chill, Moonrock, Blue Hoodie, 
946, Starbirds #946, Yellow, Grey Protector, Neon Shades, Robot Antenna, SB Tee, 
947, Starbirds #947, Gradient, Red Protector, Green Eyes, Star, Blue Shirt, 
948, Starbirds #948, Purple Space, Black Fighter, Aviators, None, Blue scarf, 
949, Starbirds #949, Pink, Purple Scout, Tired, Beer Hat, Red SB, 
950, Starbirds #950, Blue, Brown Protector, Neon Shades, White Bucket Hat, Red Scarf, 
951, Starbirds #951, Green, Red Fighter, Aviators, Hair, Green SB, 
952, Starbirds #952, Green, Black Scout, Aviators, Moon, Green Hoodie, 
953, Starbirds #953, Fire, Purple Fighter, Cyborg, Beer Hat, Jetpack, 
954, Starbirds #954, Green, Grey Royal, Vipers, Black Red, Blue Hoodie, 
955, Starbirds #955, Blue, Purple Protector, Angry Eyes, Grey Hat, None, 
956, Starbirds #956, Blue, Black Protector, Wide, Wizard Hat, None, 
957, Starbirds #957, Purple Space, Grey Scout, Neon Shades, Star, Orange SB, 
958, Starbirds #958, Green, Brown Scout, Ruby, Ded, Blue Hoodie, 
959, Starbirds #959, Purple, Brown Figher, Angry Eyes, Moonrock, Cyber Jacket, 
960, Starbirds #960, Blue, Brown Protector, Green Shades, Red Bucket, Blue Hoodie, 
961, Starbirds #961, , , , , , Space Fighter
962, Starbirds #962, Grey, Purple Scout, Vipers, Star, Orange SB, 
963, Starbirds #963, Green Space, Purple Scout, Neon Shades, Gold, Cyber Jacket, 
964, Starbirds #964, Blue, Grey Fighter, Derp, Red Bucket, Green SB, 
965, Starbirds #965, Yellow, Purple Scout, Rainbow Shades, White Bucket Hat, Blue scarf, 
966, Starbirds #966, Fire, Brown Protector, Aviators, Cyborg Antlers, Red Scarf, 
967, Starbirds #967, Pink, Grey Scout, Wide, Low Battery, Blue scarf, 
968, Starbirds #968, Grey, Black Scout, Tired, Ear Muffs, Green Scarf, 
969, Starbirds #969, Pink, Grey Scout, Tired, Cowboy, Red Scarf, 
970, Starbirds #970, Yellow, Grey Scout, Aviators, Hair, None, 
971, Starbirds #971, Pink, Blue Scout, Aviators, Cyborg Antlers, Green SB, 
972, Starbirds #972, Purple, Grey Royal, Ruby, Moon, Red SB, 
973, Starbirds #973, Grey, Grey Scout, Stars, Blue Bucket, None, 
974, Starbirds #974, Blue, Blue Fighter, Cyborg, Blue Bucket, Orange SB, 
975, Starbirds #975, Green, Brown Scout, Red Shades, Star, SB Tee, 
976, Starbirds #976, Yellow, Black Scout, Chill, Wizard Hat, SB Tee, 
977, Starbirds #977, Space, Brown Scout, Neon Shades, Wizard Hat, Gold Robe, 
978, Starbirds #978, Blue, Red, Stars, Space Ship, Gold Robe, 
979, Starbirds #979, Yellow, Black Protector, Ruby, Red Bucket, Cyber Jacket, 
980, Starbirds #980, Grey, Brown Protector, Green Shades, Moon, Red SB, 
981, Starbirds #981, Green, Purple Protector, Green Eyes, Cyborg Antlers, None, 
982, Starbirds #982, Grey, Purple Scout, Stars, Blue Bucket, Cyber Jacket, 
983, Starbirds #983, Blue, Blue Fighter, Red Shades, None, SB Tee, 
984, Starbirds #984, Blue, Purple Fighter, Tired, Gold, Blue scarf, 
985, Starbirds #985, Purple Space, Black Protector, Angry Eyes, Blue Bucket, Kings Robe, 
986, Starbirds #986, Yellow, Gold Protector, Tired, Wizard Hat, Blue Hoodie, 
987, Starbirds #987, Yellow, Blue Fighter, Green Eyes, Grey Hat, Red SB, 
988, Starbirds #988, Clouds, Red Protector, Chill, White Bucket Hat, Jetpack, 
989, Starbirds #989, Yellow, Blue Fighter, Aviators, Moon, None, 
990, Starbirds #990, Grey, Blue Fighter, Sleeping, Gold, Cyber Jacket, 
991, Starbirds #991, Green, Purple Fighter, Chill, Low Battery, Green Hoodie, 
992, Starbirds #992, Pink, Purple Scout, Chill, Low Battery, Blue Hoodie, 
993, Starbirds #993, Pink, Brown Protector, Green Shades, Robot Antenna, Kings Robe, 
994, Starbirds #994, Purple, Black Scout, Rainbow Shades, Baby Seal, Kings Robe, 
995, Starbirds #995, Green, Blue Royal, Chill, None, Red SB, 
996, Starbirds #996, Green Space, Grey Fighter, Wide, Wizard Hat, Blue Hoodie, 
997, Starbirds #997, Fire, Purple Scout, Aviators, None, Red Scarf, 
998, Starbirds #998, Clouds, Red Protector, Wide, Wizard Hat, Red SB, 
999, Starbirds #999, Pink, Red, Angry Eyes, Baby Seal, Red Scarf, 
1000, Starbirds #1000, Purple, Red Protector, Green Eyes, Black Red, SB Tee, 
1001, Starbirds #1001, Grey, Red Royal, Wide, Beer Hat, Blue scarf, 
1002, Starbirds #1002, Purple Space, Red Fighter, Neon Shades, Indian, SB Tee, 
1003, Starbirds #1003, Pink, Purple Protector, Green Eyes, Ear Muffs, Blue scarf, 
1004, Starbirds #1004, Blue, Grey Scout, Vipers, Space Ship, SB Tee, 
1005, Starbirds #1005, Blue, Purple Scout, Neon Shades, Cowboy, None, 
1006, Starbirds #1006, Green, Black Scout, Tired, Indian, Blue Shirt, 
1007, Starbirds #1007, Pink, Brown Protector, Aviators, None, None, 
1008, Starbirds #1008, Space, Blue Royal, Green Shades, Red Bucket, Jetpack, 
1009, Starbirds #1009, Yellow, Purple Scout, Ruby, Moonrock, Green SB, 
1010, Starbirds #1010, Purple, Blue Royal, Sleeping, Star, Red Scarf, 
1011, Starbirds #1011, Purple, Grey Protector, Angry Eyes, Cowboy, SB Tee, 
1012, Starbirds #1012, Yellow, Red, Angry Eyes, Space Ship, Blue Shirt, 
1013, Starbirds #1013, Blue, Purple Scout, Tired, None, Green SB, 
1014, Starbirds #1014, Yellow, Gold Protector, Sunset Shades, Moon, Red Scarf, 
1015, Starbirds #1015, Blue, Black Fighter, Neon Shades, Grey Hat, None, 
1016, Starbirds #1016, Purple Space, Brown Protector, Rainbow Shades, Moonrock, None, 
1017, Starbirds #1017, Pink, Purple Protector, Wide, Beer Hat, None, 
1018, Starbirds #1018, Blue, Brown Scout, Angry Eyes, Blue Bucket, Red SB, 
1019, Starbirds #1019, Purple, Black Royal, Wide, Star, SB Tee, 
1020, Starbirds #1020, Blue, Brown Protector, Vipers, Wizard Hat, Halo, 
1021, Starbirds #1021, Grey, Grey Scout, Chill, Hair, Green Hoodie, 
1022, Starbirds #1022, Green Space, Gold Fighter, Vipers, Cowboy, Green SB, 
1023, Starbirds #1023, Blue, Black Royal, Neon Shades, Space Ship, Green SB, 
1024, Starbirds #1024, Fire, Red Royal, Vipers, None, Cyber Jacket, 
1025, Starbirds #1025, Purple Space, Black Scout, Aviators, Wizard Hat, Orange SB, 
1026, Starbirds #1026, Blue, Purple Protector, Red Shades, White Bucket Hat, Orange SB, 
1027, Starbirds #1027, Blue, Red, Neon Shades, None, Green SB, 
1028, Starbirds #1028, Purple, Grey Protector, Round glasses, Ded, Cyber Jacket, 
1029, Starbirds #1029, Green, Gold Royal, Green Shades, Moonrock, Gold Robe, 
1030, Starbirds #1030, Pink, Black Fighter, Red Shades, Blue Bucket, Orange SB, 
1031, Starbirds #1031, Space, Brown Royal, Angry Eyes, Indian, Blue Shirt, 
1032, Starbirds #1032, Purple Space, Purple Scout, Angry Eyes, Robot Antenna, Kings Robe, 
1033, Starbirds #1033, Purple Space, Grey Royal, Chill, Crown, Orange SB, 
1034, Starbirds #1034, Fire, Purple Fighter, Green Shades, Moon, Orange SB, 
1035, Starbirds #1035, Blue, Brown Figher, Ruby, Wifi, Red Scarf, 
1036, Starbirds #1036, Clouds, Grey Scout, Sunset Shades, Cowboy, None, 
1037, Starbirds #1037, Purple, Brown Scout, Cyborg, Wizard Hat, Cyber Jacket, 
1038, Starbirds #1038, Pink, Purple Protector, Wide, Moonrock, Green SB, 
1039, Starbirds #1039, Purple Space, Grey Fighter, Sleeping, Red Bucket, Blue Hoodie, 
1040, Starbirds #1040, Pink, Grey Royal, Green Eyes, Star, None, 
1041, Starbirds #1041, Purple, Gold Protector, Stars, White Bucket Hat, Green SB, 
1042, Starbirds #1042, Grey, Black Protector, Green Shades, White Bucket Hat, Blue Shirt, 
1043, Starbirds #1043, Green, Red Fighter, Sleeping, Robot Antenna, None, 
1044, Starbirds #1044, Grey, Purple Protector, Vipers, None, Blue Shirt, 
1045, Starbirds #1045, Grey, Blue Royal, Derp, Baby Seal, Gold chain, 
1046, Starbirds #1046, Pink, Brown Royal, Aviators, None, Green Hoodie, 
1047, Starbirds #1047, Pink, Brown Royal, Chill, Crown, Blue Shirt, 
1048, Starbirds #1048, Pink, Black Scout, Sunset Shades, Blue Bucket, Blue Hoodie, 
1049, Starbirds #1049, Grey, Red Royal, Round glasses, None, Green Hoodie, 
1050, Starbirds #1050, Yellow, Red, Wide, Cowboy, Orange SB, 
1051, Starbirds #1051, Green, Black Scout, Chill, Hair, Gold Robe, 
1052, Starbirds #1052, Grey, Red Fighter, Wide, White Bucket Hat, Green Scarf, 
1053, Starbirds #1053, Purple Space, Grey Royal, Wide, None, Kings Robe, 
1054, Starbirds #1054, Pink, Black Protector, Chill, Hair, Green Hoodie, 
1055, Starbirds #1055, Grey, Grey Fighter, Round glasses, White Bucket Hat, Blue Hoodie, 
1056, Starbirds #1056, Clouds, Red, Red Shades, White Bucket Hat, Blue scarf, 
1057, Starbirds #1057, Blue, Purple Fighter, Cyborg, Crown, None, 
1058, Starbirds #1058, Fire, Red Protector, Stars, Star, None, 
1059, Starbirds #1059, Blue, Brown Figher, Ruby, Low Battery, None, 
1060, Starbirds #1060, Pink, Brown Protector, Derp, Indian, Blue Hoodie, 
1061, Starbirds #1061, Pink, Purple Royal, Sleeping, Moon, Gold chain, 
1062, Starbirds #1062, Pink, Purple Fighter, Sunset Shades, Crown, Gold Robe, 
1063, Starbirds #1063, Purple, Brown Scout, Aviators, Grey Hat, Orange SB, 
1064, Starbirds #1064, Space, Black Scout, Tired, Baby Seal, Red Scarf, 
1065, Starbirds #1065, Green, Blue Protector, Aviators, Blue Bucket, Orange SB, 
1066, Starbirds #1066, Yellow, Purple Fighter, Round glasses, None, Green SB, 
1067, Starbirds #1067, Yellow, Brown Scout, Sleeping, Low Battery, None, 
1068, Starbirds #1068, Purple, Purple Fighter, Chill, Beer Hat, Green Scarf, 
1069, Starbirds #1069, Space, Brown Royal, Aviators, Beer Hat, Blue Shirt, 
1070, Starbirds #1070, Purple Space, Purple Fighter, Aviators, Baby Seal, Blue Hoodie, 
1071, Starbirds #1071, Pink, Black Fighter, Sunset Shades, Ear Muffs, Cyber Jacket, 
1072, Starbirds #1072, Green, Red Fighter, Tired, Electricity, Green SB, 
1073, Starbirds #1073, , , , , , The Starbird
1074, Starbirds #1074, Grey, Red Protector, Green Eyes, Blue Bucket, SB Tee, 
1075, Starbirds #1075, Space, Black Royal, Angry Eyes, Grey Hat, Blue scarf, 
1076, Starbirds #1076, Clouds, Red Fighter, Neon Shades, None, Orange SB, 
1077, Starbirds #1077, Purple, Brown Figher, Vipers, Ear Muffs, Blue Hoodie, 
1078, Starbirds #1078, Green Space, Purple Protector, Cyborg, Black Red, Gold chain, 
1079, Starbirds #1079, Space, Blue Scout, Wide, None, Green SB, 
1080, Starbirds #1080, Green, Purple Protector, Cyborg, Black Red, Red Scarf, 
1081, Starbirds #1081, Purple, Brown Figher, Red Shades, Baby Seal, Blue Shirt, 
1082, Starbirds #1082, Blue, Brown Protector, Chill, Baby Seal, Blue Hoodie, 
1083, Starbirds #1083, Grey, Brown Figher, Rainbow Shades, Wizard Hat, None, 
1084, Starbirds #1084, Pink, Red, Angry Eyes, Ear Muffs, Gold chain, 
1085, Starbirds #1085, Purple, Blue Scout, Green Eyes, Wifi, Cyber Jacket, 
1086, Starbirds #1086, Grey, Grey Protector, Cyborg, Indian, Blue Shirt, 
1087, Starbirds #1087, Space, Grey Protector, Sleeping, Blue Bucket, Jetpack, 
1088, Starbirds #1088, Pink, Gold Fighter, Green Eyes, White Bucket Hat, Cyber Jacket, 
1089, Starbirds #1089, Gradient, Black Fighter, Wide, Blue Bucket, Blue Hoodie, 
1090, Starbirds #1090, Yellow, Red Royal, Chill, Crown, Red Scarf, 
1091, Starbirds #1091, Blue, Black Fighter, Chill, Red Bucket, Red Scarf, 
1092, Starbirds #1092, Blue, Blue Scout, Green Eyes, Blue Bucket, SB Tee, 
1093, Starbirds #1093, Blue, Grey Scout, Round glasses, Black Red, Green SB, 
1094, Starbirds #1094, Space, Black Fighter, Green Shades, None, Green SB, 
1095, Starbirds #1095, Purple, Purple Scout, Red Shades, Gold, Green SB, 
1096, Starbirds #1096, Pink, Brown Figher, Cyborg, Cyborg Antlers, Blue Shirt, 
1097, Starbirds #1097, Yellow, Purple Protector, Rainbow Shades, Grey Hat, Cyber Jacket, 
1098, Starbirds #1098, Yellow, Purple Royal, Tired, Baby Seal, None, 
1099, Starbirds #1099, Blue, Blue Fighter, Wide, Beer Hat, Red Scarf, 
1100, Starbirds #1100, Pink, Brown Figher, Rainbow Shades, Crown, Green SB, 
1101, Starbirds #1101, Grey, Grey Protector, Wide, Hair, Cyber Jacket, 
1102, Starbirds #1102, Purple Space, Black Scout, Sleeping, Gold, Orange SB, 
1103, Starbirds #1103, Green Space, Purple Scout, Aviators, Blue Bucket, Green Hoodie, 
1104, Starbirds #1104, Blue, Purple Protector, Stars, Black Red, Orange SB, 
1105, Starbirds #1105, Clouds, Grey Scout, Green Eyes, Space Ship, SB Tee, 
1106, Starbirds #1106, Blue, Red, Sunset Shades, White Bucket Hat, Green Hoodie, 
1107, Starbirds #1107, Purple, Brown Figher, Aviators, White Bucket Hat, Green Hoodie, 
1108, Starbirds #1108, Yellow, Black Fighter, Vipers, None, Diamons Necklace, 
1109, Starbirds #1109, Clouds, Brown Protector, Sleeping, Cyborg Antlers, Blue Shirt, 
1110, Starbirds #1110, Purple Space, Blue Fighter, Round glasses, Space Ship, Blue Hoodie, 
1111, Starbirds #1111, Purple, Grey Fighter, Vipers, Blue Bucket, Blue scarf, 
1112, Starbirds #1112, Purple Space, Purple Fighter, Wide, Wifi, Jetpack, 
1113, Starbirds #1113, Pink, Red Protector, Angry Eyes, Moon, Green Scarf, 
1114, Starbirds #1114, Yellow, Purple Scout, Derp, Moonrock, Green Hoodie, 
1115, Starbirds #1115, Gradient, Black Royal, Chill, Ear Muffs, Green Hoodie, 
1116, Starbirds #1116, Blue, Red Fighter, Vipers, Robot Antenna, Gold chain, 
1117, Starbirds #1117, Yellow, Grey Scout, Derp, Low Battery, Blue Shirt, 
